t # 0 G1
v 0 BusinessProcess N
v 1 Composition R
v 2 BusinessProcess N
v 3 Composition R
v 4 Composition R
v 5 BusinessProcess N
v 6 Triggering R
v 7 Triggering R
v 8 BusinessProcess N
e 0 1 target
e 2 1 source
e 2 3 source
e 2 4 source
e 5 4 target
e 5 6 target
e 5 7 source
e 8 7 target
t # 1 G2
v 0 BusinessProcess N
v 1 Composition R
v 2 BusinessProcess N
v 3 Composition R
v 4 Composition R
v 5 BusinessProcess N
v 6 Triggering R
v 7 Triggering R
v 8 BusinessProcess N
e 0 1 target
e 2 1 source
e 2 3 source
e 2 4 source
e 5 4 target
e 5 6 target
e 5 7 source
e 8 7 target
t # 2 g3
v 0 BusinessProcess N
v 1 Composition R
v 2 BusinessProcess N
v 3 Composition R
v 4 Composition R
v 5 BusinessProcess N
v 6 Triggering R
v 7 Triggering R
v 8 BusinessProcess N
e 0 1 target
e 2 1 source
e 2 3 source
e 2 4 source
e 5 4 target
e 5 6 target
e 5 7 source
e 8 7 target
